"area","bacia","capacidade","data_informacao","estado","fonte","hectares","id","municipio","nome","nome_sem_acento","perimetro","reservat","reservat_sem_acento","tipo","uf","volume","volume_percentual"
18607772.81,"Alto Piranhas",255,2017-03-18,"PARAÍBA","AESA",1860.78,12166,"São José de Piranhas","Engenheiro ávidos","Engenheiro avidos",121784.28,"Açude Engenheiro Ávidos (Piranhas)","Acude Engenheiro Avidos (Piranhas)","reservatorio","PB",12.77,5
5576350.9,"Brígida",27.67,2017-02-24,"PERNAMBUCO","ANA",557.64,12167,"Ouricuri","Engenheiro Camacho (Tamboril II)","Engenheiro Camacho (Tamboril II)",25812.75,"Açude Engenheiro Camacho (ex Tamboril II)","Acude Engenheiro Camacho (ex Tamboril II)","reservatorio","PE",0,0
55192648.84,"Moxotó",504,2017-03-02,"PERNAMBUCO","ANA",5519.26,12168,"Ibimirim / Sertânia","Engenheiro Francisco Saboia","Engenheiro Francisco Saboia",247400.39,"Açude Engenheiro Francisco Saboya (ex Poço da Cruz)","Acude Engenheiro Francisco Saboya (ex Poco da Cruz)","reservatorio","PE",11.57,2.3
1401364.45,"Capibaribe",13.6,2017-03-03,"PERNAMBUCO","ANA",140.14,12169,"Caruaru / Brejo da Madre de Deus","Engenheiro Gercino de Pontes (Tabocas)","Engenheiro Gercino de Pontes (Tabocas)",15835.46,"Açude Engenheiro Gercino de Pontes (Tabocas)","Acude Engenheiro Gercino de Pontes (Tabocas)","reservatorio","PE",0,0
1956752.08,"Ipojuca",17.78,2017-03-03,"PERNAMBUCO","ANA",195.68,12170,"Belo Jardim","Engenheiro Severino Guerra (Bitury)","Engenheiro Severino Guerra (Bitury)",11946.29,"Açude Engenheiro Severino Guerra (ex Bituri)","Acude Engenheiro Severino Guerra (ex Bituri)","reservatorio","PE",0,0
38693848.7,"Brígida",339.33,2017-02-14,"PERNAMBUCO","ANA",3869.38,12171,"Parnamirim / Ouricuri","Entremontes","Entremontes",191980.94,"Açude Entremontes","Acude Entremontes","reservatorio","PE",5.53,1.6
43674431.07,"Alto Paraíba",411.69,2017-03-18,"PARAÍBA","AESA",4367.44,12172,"Cabaceiras / Barra de São Miguel / Boqueirão","Epitácio Pessoa","Epitacio Pessoa",233326.83,"Açude Epitácio Pessoa (Boqueirão)","Acude Epitacio Pessoa (Boqueirao)","reservatorio","PB",14.08,3.4
1996210.07,"Médio Piranhas",16.58,2017-03-10,"PARAÍBA","AESA",199.62,12173,"Belém do Brejo do Cruz","Escondido","Escondido",11332.3,"Açude Escondido","Acude Escondido","reservatorio","PB",1.97,11.9
4405112.75,"Piranhas/Assu",27.94,2017-03-03,"RIO GRANDE DO NORTE","GOVERNO RN",440.51,12174,"Ouro Branco","Esguicho","Esguicho",33092.89,"Açude do Esguicho","Acude do Esguicho","reservatorio","RN",0.28,1
512896.49,"Canindé",23.89,2017-02-20,"PIAUÍ","ANA",51.29,12175,"Belém do Piauí / Padre Marcos","Estreito","Estreito",6322.81,"Açude Estreito","Acude Estreito","reservatorio","PI",2.4,10
9515944.65,"São Francisco",76,2017-03-03,"MINAS GERAIS / BAHIA","ANA",951.59,12176,"Espinosa / Urandi","Estreito","Estreito",33436.73,"Açude do Estreito","Acude do Estreito","reservatorio","MG / BA",27.52,36.2
1869703.52,"Alto Jaguaribe",19,2017-03-18,"CEARÁ","ANA",186.97,12177,"Quixelô","Faé","Fae",24262.92,"Açude Faé","Acude Fae","reservatorio","CE",0,0
0,"Acaraú",12.23,2017-03-16,"CEARÁ","ANA",148.61,12178,"Nova Russas","Farias de Souza","Farias de Souza",19347.08,"Açude Farias de Souza","Acude Farias de Souza","reservatorio","CE",0,0
6019221.6,"Espinharas",25.74,2017-02-20,"PARAÍBA","AESA",601.92,12179,"Patos / Cacimba de Areia","Farinha","Farinha",36069.98,"Açude da Farinha","Acude da Farinha","reservatorio","PB",1.71,6.6
0,"Canindé",1.83,2017-02-20,"PIAUÍ","ANA",1.62,12180,"Picos","Fátima","Fatima",1088.77,"Açude Fátima","Acude Fatima","reservatorio","PI",0,0
3495044.32,"Alto Jaguaribe",30.1,2017-03-16,"CEARÁ","ANA",349.5,12181,"Tauá","Favelas","Favelas",35621.8,"Açude Favelas","Acude Favelas","reservatorio","CE",0,0
356809.24,"Seridó",2.06,2016-12-07,"PARAÍBA","ANA",35.68,12182,"Seridó","Felismina Queiroz","Felismina Queiroz",5741.35,"Açude Felismina Queiroz","Acude Felismina Queiroz","reservatorio","PB",0,0
2066532.87,"Apodi/Mossoró",8.95,2017-03-07,"RIO GRANDE DO NORTE","ANA",206.65,12183,"José da Penha","Flechas","Flechas",16306.78,"Açude Flechas","Acude Flechas","reservatorio","RN",0,0
15310765.15,"Parnaíba-CE",105,2017-03-18,"CEARÁ","ANA",1531.08,12184,"Novo Oriente","Flor do Campo","Flor do Campo",66296.25,"Açude Flor do Campo (Novo Oriente)","Acude Flor do Campo (Novo Oriente)","reservatorio","CE",2.05,2
17204132.66,"Banabuiú",118.82,2017-03-18,"CEARÁ","ANA",1720.41,12186,"Quixeramobim / Boa Viagem","Fogareiro","Fogareiro",108157.66,"Açude Antônio Ferreira Antero (Fogareiro)","Acude Antonio Ferreira Antero (Fogareiro)","reservatorio","CE",0.62,0.5
0,"Acaraú",50.13,2017-03-17,"CEARÁ","ANA",795.96,12187,"Forquilha","Forquilha","Forquilha",42297.3,"Açude Forquilha","Acude Forquilha","reservatorio","CE",3,6
557048.97,"Alto Jaguaribe",3.4,2017-03-16,"CEARÁ","ANA",55.7,12188,"Tauá","Forquilha II","Forquilha II",6651.19,"Açude Forquilha II","Acude Forquilha II","reservatorio","CE",0,0
3927666.96,"Paraguaçu",24.19,2016-11-28,"BAHIA","ANA",392.77,12189,"Piritiba / Miguel Calmon","França","Franca",30676.1,"Barragem do França","Barragem do Franca","reservatorio","BA",19.42,80.3
0,"Curu",33.02,2017-03-17,"CEARÁ","ANA",360.13,12190,"Umirim","Frios","Frios",32580.27,"Açude Frios","Acude Frios","reservatorio","CE",0.48,1.4
311239.11,"Piancó",3.52,2017-03-15,"PARAÍBA","AESA",31.12,12191,"Igaracy / Aguiar","Frutuoso II","Frutuoso II",5066.55,"Açude Frutuoso II","Acude Frutuoso II","reservatorio","PB",0.12,3.3
0,"Peixe",0.47,2017-03-16,"PARAÍBA","AESA",2.15,12193,"Triunfo","Gamela","Gamela",766.48,"Açude Gamela","Acude Gamela","reservatorio","PB",0.08,17
